text,emotion
My world feels gray,sad
I feel hopeless,sad
I can't get out of bed,sad
Tears keep falling,sad
My heart aches,sad
I feel left out,sad
I can't find happiness,sad
Nothing makes sense anymore,sad
I feel forgotten,sad
The world feels cold,sad
I don't feel loved,sad
I can't escape my sadness,sad
I wish I could disappear,sad
I'm not okay,sad
I'm losing myself,sad
Everything hurts,sad
I feel weak inside,sad
I don't have any energy,sad
I miss someone so much,sad
I can't smile anymore,sad
I feel trapped,sad
I feel unwanted,sad
I'm crying silently,sad
I'm tired of everything,sad
I wish I could go back,sad
My heart is shattered,sad
I feel so small,sad
I can't face anyone,sad
I'm drowning in my thoughts,sad
Nothing feels right,sad
I feel numb,sad
I just want peace,sad
I don't care anymore,sad
I'm emotionally drained,sad
I can't see the light,sad
Life feels heavy,sad
I feel lost again,sad
My tears won't stop,sad
I can't talk to anyone,sad
Everything feels distant,sad
I'm so tired of life,sad
I'm breaking down,sad
I'm hurt deeply,sad
No one cares about me,sad
I'm full of regrets,sad
I feel miserable,sad
I'm stuck in sadness,sad
I wish I was stronger,sad
I feel insecure,sad
I don't want to exist,sad
My smile hides pain,sad
I'm not strong enough,sad
I feel isolated,sad
I'm done trying,sad
I hate feeling like this,sad
I feel empty again,sad
I'm just surviving,sad
Nothing changes,sad
I feel distant,sad
I wish someone would listen,sad
I'm crying inside,sad
I'm afraid of tomorrow,sad
I'm losing hope,sad
I'm not happy anymore,sad
I feel broken again,sad
I just need a hug,sad
My mind is exhausted,sad
I'm in pain,sad
I feel nothing,sad
I feel hopeless inside,sad
I'm so angry right now,sad
Why do people never listen?,sad
I'm tired of being ignored,sad
This is so unfair!,sad
I can't control my temper,sad
Stop bothering me,sad
I hate when this happens,sad
Why is everyone so careless?,sad
That was so disrespectful!,sad
I can't believe this nonsense,sad
I feel like yelling,sad
I'm extremely frustrated,sad
This makes me furious,sad
I'm losing my patience,angry
They don't take me seriously,angry
Why can't things just go right?,angry
I'm boiling with anger,angry
I can't stand this anymore,angry
I feel so irritated,angry
This is unacceptable,angry
I'm done with this,angry
That pushed me too far,angry
I can't believe they said that,angry
This makes my blood boil,angry
I'm beyond frustrated,angry
I'm yelling inside,angry
Why does this keep happening?,angry
I'm losing control,angry
I'm tired of the excuses,angry
That's ridiculous!,angry
I can't tolerate this,angry
I feel enraged,angry
This is pure madness,angry
They make me so mad,angry
I'm sick of repeating myself,angry
I'm not in the mood,angry
That really hurt my pride,angry
I'm shouting in my mind,angry
I'm not okay with this,angry
That was the last straw,angry
I can't calm down,angry
I'm furious!,angry
I'm irritated beyond words,angry
I feel disrespected,angry
They don't value my opinion,angry
That ruined my day,angry
I'm done talking,angry
I'm sick of people's behavior,angry
I'm offended,angry
I'm fuming,angry
This is so annoying,angry
I hate dealing with this,angry
They crossed the line,angry
That was unnecessary,angry
I'm not being heard,angry
I'm losing it,angry
I'm tired of waiting,angry
I can't forgive this easily,angry
I feel betrayed,angry
I'm raging inside,angry
That was a huge mistake,angry
I'm insulted,angry
I feel cornered,angry
I'm annoyed again,angry
This is out of control,angry
I can't believe their attitude,angry
I'm shouting out loud,angry
That really upset me,angry
I'm angry at myself,angry
I feel impatient,angry
That's infuriating,angry
I'm frustrated again,angry
They never learn,angry
I'm so mad right now,angry
I can't take this anymore,angry
This is unbearable,angry
I'm angry about the situation,angry
I'm clenching my fists,angry
I feel like exploding,angry
This is irritating me,angry
I'm not calm,angry
That made me furious,angry
I'm full of rage,angry
I feel betrayed and mad,angry
I'm scared of what's going to happen,angry
That sound frightened me,angry
"I can't sleep, I'm too scared",angry
Something bad is about to happen,angry
I feel anxious all the time,angry
My heart is racing,angry
I'm shaking with fear,angry
I don't feel safe here,angry
I'm terrified of the dark,angry
What if something goes wrong?,angry
I can't handle this pressure,angry
I'm afraid to be alone,angry
This place feels haunted,angry
I'm nervous about tomorrow,angry
I don't want to fail,angry
My hands are trembling,angry
I'm panicking,angry
That was horrifying,angry
I feel uneasy,angry
I can't control my fear,angry
I'm breathing fast,angry
I feel frozen,angry
I hear strange noises,angry
My palms are sweating,angry
I can't move,angry
I'm startled by everything,angry
I keep looking around,angry
I'm scared to open the door,angry
I feel watched,angry
I'm trembling uncontrollably,fear
I can't calm down,fear
That shadow scared me,fear
I'm afraid to speak,fear
I feel unsafe,fear
I can't stop thinking about it,fear
I'm worried something's wrong,fear
I feel cornered,fear
I'm jumpy,fear
I'm sweating nervously,fear
I can't breathe properly,fear
That scream frightened me,fear
I feel terrified,fear
I'm hiding,fear
I'm scared to go out,fear
I feel nervous,fear
I'm afraid I'll fail,fear
I can't stop panicking,fear
I feel helpless,fear
I'm scared of losing control,fear
I keep imagining bad things,fear
I feel anxious about the exam,fear
I'm afraid of rejection,fear
I'm trembling with fear,fear
I feel scared inside,fear
That noise startled me,fear
I'm afraid of the unknown,fear
My mind is racing,fear
I'm shaking slightly,fear
I feel nervous inside,fear
I can't focus,fear
I feel like something's behind me,fear
I'm breathing heavily,fear
I can't relax,fear
My stomach hurts from fear,fear
I feel chills down my spine,fear
I'm frightened to death,fear
I can't think straight,fear
I feel uneasy in the dark,fear
I'm scared of what I saw,fear
I feel like running away,fear
I'm paralyzed by fear,fear
I can't face it,fear
I'm scared to tell the truth,fear
Everything feels calm,fear
"I'm okay, just a normal day",fear
Nothing special is happening,fear
I feel fine,fear
I'm doing alright,fear
It's just an ordinary day,fear
I'm neither happy nor sad,fear
I'm relaxed and calm,fear
Nothing much to say today,fear
Everything is stable,fear
I'm feeling peaceful,fear
I'm just existing,fear
Life feels balanced,fear
"No stress, no excitement",fear
I'm in a neutral mood,fear
Things are steady,fear
Everything is okay,fear
Just another day,fear
Nothing new today,fear
I'm fine,fear
I'm content with life,fear
Today feels average,fear
I feel calm and steady,fear
I'm relaxed,fear
Nothing bothers me,fear
It's a normal routine,fear
I'm at peace,fear
I feel balanced,fear
My day is uneventful,fear
I'm indifferent,fear
Everything feels moderate,fear
No highs or lows,fear
I'm stable emotionally,fear
I'm doing my tasks normally,fear
I'm just chilling,fear
Life feels normal,fear
I'm managing,fear
Everything's under control,fear
No major updates,fear
It's a slow day,fear
I feel grounded,fear
I'm maintaining balance,fear
Nothing surprising happened,fear
I feel composed,fear
Just going through the day,fear
It's quiet and peaceful,fear
Nothing feels extreme,fear
I'm mentally calm,fear
I'm neutral as always,fear
Just doing what I do,fear
No worries today,fear
I'm centered,fear
It's an okay day,fear
I feel neither good nor bad,fear
I'm relaxed as usual,fear
Everything is regular,fear
Life feels simple,neutral
I'm steady today,neutral
No pressure today,neutral
Everything feels fine,neutral
Nothing's exciting today,neutral
I'm emotionally balanced,neutral
Just passing time,neutral
I'm calm inside,neutral
Everything is average,neutral
No change in feelings,neutral
I'm maintaining my mood,neutral
Life goes on,neutral
Just the usual day,neutral
I'm not stressed,neutral
It's peaceful today,neutral
I'm in control,neutral
I'm doing okay,neutral
I feel normal,neutral
It's a lazy day,neutral
No tension,neutral
I'm resting peacefully,neutral
Everything feels neutral,neutral
I am feeling very happy today!,happy
I am feeling very happy today!,happy
Feeling sad,fear
I miss my family so much and feel lonely tonight.,sad
I miss my family so much and feel lonely tonight.,sad
Why can’t people just listen? I’m so frustrated and mad right now!,sad
I hate when things don’t go as planned. It makes me furious!,sad
I hate when things don’t go as planned. It makes me furious!,sad
I just finished my work and I’m sitting quietly at home.,happy
I am feeling really happy today!,happy
